session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61522c7b07697db93fbcf06e,masked_for_anonoymity,TIMED-OUT,2021-09-27T20:41:35.761Z,,1269519.371206,23,22,0,100,,"",United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522c7dd67883db1038fdda,masked_for_anonoymity,APPROVED,2021-09-27T20:41:39.011Z,2021-09-27T21:17:27.511Z,2148.5,51,61,1,100,2021-09-28T11:09:11.149Z,807F37DE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
61522c80d31402c9d55e6d34,masked_for_anonoymity,RETURNED,2021-09-27T20:41:38.734Z,,1269516.438941,22,13,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522c8a95d1ba14cd7c2018,masked_for_anonoymity,APPROVED,2021-09-27T20:41:49.852Z,2021-09-27T21:07:46.151Z,1556.299,30,68,0,100,2021-09-28T11:09:11.226Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522c908612a9c8e9406ef5,masked_for_anonoymity,APPROVED,2021-09-27T20:41:54.335Z,2021-09-27T21:45:08.184Z,3793.849,21,21,0,100,2021-09-28T11:09:11.301Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
61522c9e03b42ec764684117,masked_for_anonoymity,APPROVED,2021-09-27T20:42:10.402Z,2021-09-27T21:41:50.257Z,3579.855,21,48,1,97,2021-09-28T11:09:11.388Z,807F37DE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,India,Female,No
61522ca309ffa747c5fd5e10,masked_for_anonoymity,APPROVED,2021-09-27T20:42:12.976Z,2021-09-27T21:11:08.059Z,1735.083,25,29,0,100,2021-09-28T11:09:11.472Z,807F37DE,DATA EXPIRED,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,DATA EXPIRED
61522ca4c514d1b39ec04674,masked_for_anonoymity,APPROVED,2021-09-27T20:42:16.013Z,2021-09-27T21:10:54.212Z,1718.199,34,44,1,100,2021-09-28T11:09:11.547Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522cb3ef97d0cfafa8e6da,masked_for_anonoymity,APPROVED,2021-09-27T20:42:35.640Z,2021-09-27T21:10:55.735Z,1700.095,45,45,0,100,2021-09-28T11:09:11.624Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61522cba9a4876ad342a478b,masked_for_anonoymity,RETURNED,2021-09-27T20:42:45.254Z,,1269450.046024,60,41,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61522cbd7b27417ba3d9a32e,masked_for_anonoymity,APPROVED,2021-09-27T20:42:40.013Z,2021-09-27T21:01:09.558Z,1109.545,43,70,0,100,2021-09-28T11:09:11.716Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61522cd4d18f277355a4917d,masked_for_anonoymity,APPROVED,2021-09-27T20:43:03.103Z,2021-09-27T21:35:46.045Z,3162.942,28,23,0,100,2021-09-28T11:09:11.799Z,807F37DE,Croatia,United Kingdom,Unemployed (and job seeking),Croatian,Croatia,Female,Yes
61522cdebd04d3cec8d947c4,masked_for_anonoymity,APPROVED,2021-09-27T20:43:23.429Z,2021-09-27T21:46:44.391Z,3800.962,55,38,0,100,2021-09-28T11:09:11.866Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
